Gene_name,Ensemble_id,Protein_ensembl_id,Locus
SPINT2,ENSCAFG00845006068,ENSCAFP00845008428.1,1:115300926:115329591:-1
PPP1R14A,ENSCAFG00845006125,ENSCAFP00845008499.1,1:115339396:115347869:1
DPF1,ENSCAFG00845006207,ENSCAFP00845008756.1,1:115341774:115368228:1
SIPA1L3,ENSCAFG00845006405,ENSCAFP00845009091.1,1:115364220:115605116:-1
WDR87,ENSCAFG00845006631,ENSCAFP00845009181.1,1:115608889:115621357:1
ZNF383,ENSCAFG00845006831,ENSCAFP00845009468.1,1:115809204:115853633:1
ZNF875,ENSCAFG00845006905,ENSCAFP00845009707.1,1:115864279:116103242:1
ZNF569,ENSCAFG00845007029,ENSCAFP00845009752.1,1:116019011:116070164:-1
ZNF790,ENSCAFG00845007243,ENSCAFP00845009984.1,1:116307098:116326959:1
ZFP30,ENSCAFG00845007444,ENSCAFP00845010242.1,1:116391015:116409384:-1
ZNF793,ENSCAFG00845007558,ENSCAFP00845010344.1,1:116436447:116460707:1
ZNF829,ENSCAFG00845007636,ENSCAFP00845010456.1,1:116478405:116501723:-1
ZFP14,ENSCAFG00845007795,ENSCAFP00845010667.1,1:116598712:116628501:-1
ZFP82,ENSCAFG00845007894,ENSCAFP00845010938.1,1:116641324:116726698:-1
ZNF260,ENSCAFG00845008039,ENSCAFP00845010973.1,1:116742326:116762709:-1
ZNF529,ENSCAFG00845000113,ENSCAFP00845000139.1,1:116792787:116855941:-1
ZNF382,ENSCAFG00845000126,ENSCAFP00845000149.1,1:116829614:116880948:1
ZNF461,ENSCAFG00845000157,ENSCAFP00845000183.1,1:116906016:116940997:-1
ZNF567,ENSCAFG00845000175,ENSCAFP00845000194.1,1:116958920:116986167:1
ZNF146,ENSCAFG00845000204,ENSCAFP00845000217.1,1:117060608:117083471:-1
ZNF565,ENSCAFG00845000208,ENSCAFP00845000224.1,1:117083556:117116534:1
COX7A1,ENSCAFG00845000219,ENSCAFP00845000239.1,1:117148692:117150328:1
CAPNS1,ENSCAFG00845000278,ENSCAFP00845000331.1,1:117151014:117159238:-1
TBCB,ENSCAFG00845000367,ENSCAFP00845000395.1,1:117178999:117188992:-1
POLR2I,ENSCAFG00845000395,ENSCAFP00845000434.1,1:117189299:117190522:1
OVOL3,ENSCAFG00845000416,ENSCAFP00845000460.1,1:117190569:117192468:-1
WDR62,ENSCAFG00845000430,ENSCAFP00845000503.1,1:117197202:117245435:-1
THAP8,ENSCAFG00845000469,ENSCAFP00845000558.1,1:117245395:117259368:1
CLIP3,ENSCAFG00845000488,ENSCAFP00845000590.1,1:117260888:117273887:1
ALKBH6,ENSCAFG00845000513,ENSCAFP00845000636.1,1:117274285:117279361:1
ALKBH6,ENSCAFG00845000568,ENSCAFP00845000713.1,1:117279807:117283665:1
SDHAF1,ENSCAFG00845000611,ENSCAFP00845000751.1,1:117289180:117292423:-1
LRFN3,ENSCAFG00845000623,ENSCAFP00845000770.1,1:117331616:117337645:-1
TYROBP,ENSCAFG00845000649,ENSCAFP00845000819.1,1:117359869:117363633:1
HCST,ENSCAFG00845000679,ENSCAFP00845000842.1,1:117363892:117365203:-1
NFKBID,ENSCAFG00845000711,ENSCAFP00845000915.1,1:117366572:117374251:1
APLP1,ENSCAFG00845000785,ENSCAFP00845001082.1,1:117377574:117386219:-1
KIRREL2,ENSCAFG00845000898,ENSCAFP00845001267.1,1:117387311:117395263:-1
NPHS1,ENSCAFG00845001053,ENSCAFP00845001450.1,1:117398078:117417189:1
PRODH2,ENSCAFG00845001097,ENSCAFP00845001485.1,1:117434888:117445619:1
ARHGAP33,ENSCAFG00845001214,ENSCAFP00845001666.1,1:117454357:117467680:-1
HSPB6,ENSCAFG00845001363,ENSCAFP00845001858.1,1:117481361:117483467:1
LIN37,ENSCAFG00845001383,ENSCAFP00845001880.1,1:117483889:117489221:-1
PSENEN,ENSCAFG00845001404,ENSCAFP00845001909.1,1:117489947:117491434:-1
IGFLR1,ENSCAFG00845001429,ENSCAFP00845001957.1,1:117491674:117497074:1
U2AF1L4,ENSCAFG00845001465,ENSCAFP00845002003.1,1:117491674:117497074:1
KMT2B,ENSCAFG00845001587,ENSCAFP00845002542.1,1:117497002:117516495:-1
ZBTB32,ENSCAFG00845001881,ENSCAFP00845002613.1,1:117517798:117519921:-1
UPK1A,ENSCAFG00845001931,ENSCAFP00845002717.1,1:117542277:117551556:-1
ETV2,ENSCAFG00845002002,ENSCAFP00845002784.1,1:117574597:117577031:-1
ETV2,ENSCAFG00845002092,ENSCAFP00845002956.1,1:117581171:117589073:-1
HAUS5,ENSCAFG00845002162,ENSCAFP00845003040.1,1:117593796:117604746:-1
ATP4A,ENSCAFG00845002265,ENSCAFP00845003302.1,1:117604903:117716954:1
TMEM147,ENSCAFG00845002384,ENSCAFP00845003360.1,1:117719689:117721201:-1
GAPDHS,ENSCAFG00845002405,ENSCAFP00845003384.1,1:117721451:117729319:-1
SBSN,ENSCAFG00845002436,ENSCAFP00845003430.1,1:117733282:117738080:1
KRTDAP,ENSCAFG00845003011,ENSCAFP00845004261.1,1:117767120:117770310:1
FFAR2,ENSCAFG00845003045,ENSCAFP00845004277.1,1:117798031:117799027:-1
FFAR1,ENSCAFG00845003077,ENSCAFP00845004309.1,1:117856766:117857666:-1
MAG,ENSCAFG00845003158,ENSCAFP00845004504.1,1:117861537:117902800:-1
HAMP,ENSCAFG00845003240,ENSCAFP00845004527.1,1:117905325:117906534:-1
USF2,ENSCAFG00845003264,ENSCAFP00845004589.1,1:117908794:117918329:-1
LSR,ENSCAFG00845003408,ENSCAFP00845004902.1,1:117919397:117933130:-1
FAM187B,ENSCAFG00845003484,ENSCAFP00845004920.1,1:117961796:117966661:1
FXYD7,ENSCAFG00845003521,ENSCAFP00845004976.1,1:118024675:118033686:-1
FXYD1,ENSCAFG00845003545,ENSCAFP00845005018.1,1:118033832:118037313:-1
LGI4,ENSCAFG00845003561,ENSCAFP00845005048.1,1:118042210:118049961:1
FXYD3,ENSCAFG00845003604,ENSCAFP00845005156.1,1:118050866:118053788:-1
HPN,ENSCAFG00845003738,ENSCAFP00845005349.1,1:118083743:118100024:-1
SCN1B,ENSCAFG00845003824,ENSCAFP00845005487.1,1:118101276:118109849:-1
GRAMD1A,ENSCAFG00845003861,ENSCAFP00845005531.1,1:118112810:118136186:-1
ZNF792,ENSCAFG00845003883,ENSCAFP00845005584.1,1:118179060:118184744:1
ZNF599,ENSCAFG00845003919,ENSCAFP00845005628.1,1:118218794:118253035:-1
WTIP,ENSCAFG00845004023,ENSCAFP00845005769.1,1:118413961:118433676:-1
UBA2,ENSCAFG00845004052,ENSCAFP00845005795.1,1:118438075:118480571:-1
PDCD2L,ENSCAFG00845004074,ENSCAFP00845005817.1,1:118484714:118514565:-1
UBA2,ENSCAFG00845004146,ENSCAFP00845005923.1,1:118497394:118544065:-1
GARRE1,ENSCAFG00845004239,ENSCAFP00845006030.1,1:118552573:118629880:-1
LSM14A,ENSCAFG00845004271,ENSCAFP00845006098.1,1:118657277:118713094:-1
KCTD15,ENSCAFG00845000086,ENSCAFP00845000112.1,1:119019419:119031947:-1
CHST8,ENSCAFG00845000098,ENSCAFP00845000127.1,1:119058910:119183878:-1
PEPD,ENSCAFG00845000128,ENSCAFP00845000158.1,1:119262260:119371682:1
CEBPG,ENSCAFG00845000152,ENSCAFP00845000171.1,1:119376714:119377158:-1
SLC7A10,ENSCAFG00845000168,ENSCAFP00845000193.1,1:119506604:119521705:1
LRP3,ENSCAFG00845000195,ENSCAFP00845000213.1,1:119520573:119534638:-1
WDR88,ENSCAFG00845000209,ENSCAFP00845000240.1,1:119560798:119606552:-1
GPATCH1,ENSCAFG00845000257,ENSCAFP00845000268.1,1:119608227:119651359:-1
RHPN2,ENSCAFG00845000287,ENSCAFP00845000304.1,1:119660326:119718090:1
FAAP24,ENSCAFG00845000331,ENSCAFP00845000357.1,1:119715281:119722428:-1
CEP89,ENSCAFG00845000371,ENSCAFP00845000415.1,1:119722548:119798448:1
SLC7A9,ENSCAFG00845000428,ENSCAFP00845000494.1,1:119806921:119830085:1
TDRD12,ENSCAFG00845000471,ENSCAFP00845000589.1,1:119832504:119900715:-1
NUDT19,ENSCAFG00845000516,ENSCAFP00845000623.1,1:119907507:119912764:-1
RGS9BP,ENSCAFG00845000547,ENSCAFP00845000662.1,1:119922820:119923531:-1
ANKRD27,ENSCAFG00845000589,ENSCAFP00845000744.1,1:119924440:119978601:1
PDCD5,ENSCAFG00845000680,ENSCAFP00845000870.1,1:119980796:119986923:-1
DPY19L3,ENSCAFG00845000789,ENSCAFP00845001126.1,1:120058805:120128613:-1
ZNF507,ENSCAFG00845000880,ENSCAFP00845001151.1,1:120144122:120183663:-1
TSHZ3,ENSCAFG00845000908,ENSCAFP00845001210.1,1:120986941:121058542:1
ZNF536,ENSCAFG00845000976,ENSCAFP00845001376.1,1:121572901:122002219:-1
URI1,ENSCAFG00845001063,ENSCAFP00845001483.1,1:122157536:122241879:-1
CCNE1,ENSCAFG00845001129,ENSCAFP00845001541.1,1:122317343:122327556:-1
C19orf12,ENSCAFG00845001166,ENSCAFP00845001562.1,1:122393078:122395636:1
PLEKHF1,ENSCAFG00845001176,ENSCAFP00845001582.1,1:122409979:122411377:-1
POP4,ENSCAFG00845001208,ENSCAFP00845001635.1,1:122438569:122469729:-1
VSTM2B,ENSCAFG00845001253,ENSCAFP00845001722.1,1:122487695:122507500:-1
UQCRFS1,ENSCAFG00845001274,ENSCAFP00845001737.1,1:122668168:122672983:1
TMT1B,ENSCAFG00845005239,ENSCAFP00845007339.1,10:96760:98566:1
ITGA7,ENSCAFG00845005303,ENSCAFP00845007508.1,10:99046:118145:-1
BLOC1S1,ENSCAFG00845005424,ENSCAFP00845007555.1,10:123355:132465:1
RDH5,ENSCAFG00845005441,ENSCAFP00845007585.1,10:124737:132464:1
CD63,ENSCAFG00845005463,ENSCAFP00845007618.1,10:133722:136510:-1
GDF11,ENSCAFG00845005484,ENSCAFP00845007634.1,10:147012:153803:1
SARNP,ENSCAFG00845005498,ENSCAFP00845007658.1,10:158976:210354:-1
DNAJC14,ENSCAFG00845005531,ENSCAFP00845007697.1,10:213327:220286:-1
TMEM198B,ENSCAFG00845005558,ENSCAFP00845007715.1,10:221442:225877:1
MMP19,ENSCAFG00845005600,ENSCAFP00845007773.1,10:225880:231658:-1
PYM1,ENSCAFG00845005627,ENSCAFP00845007794.1,10:258434:273724:-1
DGKA,ENSCAFG00845005690,ENSCAFP00845007908.1,10:276784:304392:1
PMEL,ENSCAFG00845005780,ENSCAFP00845007996.1,10:299404:306904:-1
CDK2,ENSCAFG00845005902,ENSCAFP00845008166.1,10:307693:312540:1
RAB5B,ENSCAFG00845005969,ENSCAFP00845008246.1,10:314546:332362:1
SUOX,ENSCAFG00845006001,ENSCAFP00845008271.1,10:334269:338424:1
IKZF4,ENSCAFG00845006038,ENSCAFP00845008370.1,10:352068:365629:1
RPS26,ENSCAFG00845006083,ENSCAFP00845008433.1,10:369343:371070:1
ERBB3,ENSCAFG00845006158,ENSCAFP00845008668.1,10:417393:431614:1
PA2G4,ENSCAFG00845006301,ENSCAFP00845008705.1,10:432929:441669:1
ZC3H10,ENSCAFG00845006353,ENSCAFP00845008776.1,10:446114:451604:1
ESYT1,ENSCAFG00845006382,ENSCAFP00845008855.1,10:455518:470822:1
MYL6,ENSCAFG00845006499,ENSCAFP00845009236.1,10:481462:489494:1
SMARCC2,ENSCAFG00845006751,ENSCAFP00845009476.1,10:490178:512125:-1
RNF41,ENSCAFG00845006959,ENSCAFP00845009728.1,10:522280:553589:-1
NABP2,ENSCAFG00845007045,ENSCAFP00845009766.1,10:555496:559985:1
SLC39A5,ENSCAFG00845007132,ENSCAFP00845009952.1,10:561345:565860:1
ANKRD52,ENSCAFG00845007315,ENSCAFP00845010146.1,10:566284:583761:-1
COQ10A,ENSCAFG00845007484,ENSCAFP00845010251.1,10:588542:591689:1
CS,ENSCAFG00845007644,ENSCAFP00845010719.1,10:592483:620005:-1
CNPY2,ENSCAFG00845007911,ENSCAFP00845010785.1,10:626270:629090:-1
PAN2,ENSCAFG00845007965,ENSCAFP00845010870.1,10:629928:644050:-1
IL23A,ENSCAFG00845008036,ENSCAFP00845010977.1,10:647539:649181:1
STAT2,ENSCAFG00845008098,ENSCAFP00845011091.1,10:649946:669646:-1
APOF,ENSCAFG00845008198,ENSCAFP00845011156.1,10:670707:671760:-1
TIMELESS,ENSCAFG00845008229,ENSCAFP00845011237.1,10:680996:710061:-1
MIP,ENSCAFG00845008298,ENSCAFP00845011311.1,10:710357:715134:-1
SPRYD4,ENSCAFG00845008355,ENSCAFP00845011378.1,10:729025:732353:1
GLS2,ENSCAFG00845008418,ENSCAFP00845011654.1,10:731090:746792:-1
RBMS2,ENSCAFG00845008621,ENSCAFP00845011852.1,10:775276:837640:1
ATP5F1B,ENSCAFG00845008893,ENSCAFP00845012441.1,10:879723:919087:-1
NACA,ENSCAFG00845009133,ENSCAFP00845012518.1,10:947647:960206:-1
PRIM1,ENSCAFG00845009163,ENSCAFP00845012549.1,10:963378:987127:-1
HSD17B6,ENSCAFG00845009238,ENSCAFP00845012649.1,10:1008914:1027809:1
SDR9C7,ENSCAFG00845009288,ENSCAFP00845012731.1,10:1123867:1132058:-1
RDH16,ENSCAFG00845009333,ENSCAFP00845012821.1,10:1135295:1145453:-1
GPR182,ENSCAFG00845009393,ENSCAFP00845012870.1,10:1152833:1155338:1
ZBTB39,ENSCAFG00845009407,ENSCAFP00845012893.1,10:1159021:1165152:-1
TAC3,ENSCAFG00845009429,ENSCAFP00845012928.1,10:1170304:1177466:-1
MYO1A,ENSCAFG00845009491,ENSCAFP00845013030.1,10:1181956:1204059:-1
NEMP1,ENSCAFG00845009633,ENSCAFP00845013224.1,10:1208915:1228771:-1
NAB2,ENSCAFG00845009686,ENSCAFP00845013345.1,10:1237141:1243073:1
STAT6,ENSCAFG00845009828,ENSCAFP00845013647.1,10:1242994:1256854:-1
LRP1,ENSCAFG00845010106,ENSCAFP00845013914.1,10:1270726:1352186:1
NXPH4,ENSCAFG00845010342,ENSCAFP00845014192.1,10:1355550:1363753:1
SHMT2,ENSCAFG00845010365,ENSCAFP00845014251.1,10:1367830:1372939:1
NDUFA4L2,ENSCAFG00845010422,ENSCAFP00845014321.1,10:1373022:1374962:-1
R3HDM2,ENSCAFG00845010738,ENSCAFP00845016360.1,10:1380735:1552848:-1
INHBC,ENSCAFG00845011778,ENSCAFP00845016423.1,10:1555817:1567807:1
INHBE,ENSCAFG00845011799,ENSCAFP00845016452.1,10:1568173:1572796:1
GLI1,ENSCAFG00845011836,ENSCAFP00845016604.1,10:1573577:1585034:1
ARHGAP9,ENSCAFG00845011922,ENSCAFP00845016682.1,10:1585193:1592651:-1
MARS1,ENSCAFG00845012016,ENSCAFP00845016860.1,10:1597893:1615814:1
DDIT3,ENSCAFG00845012093,ENSCAFP00845016899.1,10:1615758:1620369:-1
MBD6,ENSCAFG00845012134,ENSCAFP00845017006.1,10:1621928:1629548:1
DCTN2,ENSCAFG00845012256,ENSCAFP00845017188.1,10:1630052:1643684:-1
KIF5A,ENSCAFG00845012531,ENSCAFP00845017922.1,10:1646234:1676121:1
PIP4K2C,ENSCAFG00845012895,ENSCAFP00845018008.1,10:1678722:1690295:1
DTX3,ENSCAFG00845012960,ENSCAFP00845018110.1,10:1691624:1696579:1
ARHGEF25,ENSCAFG00845013035,ENSCAFP00845018331.1,10:1696460:1703983:1
SLC26A10,ENSCAFG00845013204,ENSCAFP00845018526.1,10:1706047:1712526:1
B4GALNT1,ENSCAFG00845013319,ENSCAFP00845018714.1,10:1713028:1719832:-1
OS9,ENSCAFG00845013454,ENSCAFP00845018982.1,10:1766406:1797188:1
AGAP2,ENSCAFG00845013648,ENSCAFP00845019263.1,10:1800852:1816880:-1
TSPAN31,ENSCAFG00845013788,ENSCAFP00845019411.1,10:1819039:1821965:1
CDK4,ENSCAFG00845013840,ENSCAFP00845019455.1,10:1822135:1825057:-1
MARCHF9,ENSCAFG00845013862,ENSCAFP00845019475.1,10:1827527:1831238:1
CYP27B1,ENSCAFG00845013886,ENSCAFP00845019544.1,10:1834463:1839154:-1
METTL1,ENSCAFG00845013929,ENSCAFP00845019578.1,10:1839487:1844056:-1
TSFM,ENSCAFG00845006879,ENSCAFP00845009745.1,10:1843649:1874913:1
AVIL,ENSCAFG00845007079,ENSCAFP00845009823.1,10:1865399:1885212:-1
CTDSP2,ENSCAFG00845007174,ENSCAFP00845009943.1,10:1884617:1907270:-1
ATP23,ENSCAFG00845007289,ENSCAFP00845010037.1,10:1994050:2007390:1
LRIG3,ENSCAFG00845007378,ENSCAFP00845010194.1,10:2739330:2787479:-1
SLC16A7,ENSCAFG00845007615,ENSCAFP00845010409.1,10:3357276:3519865:1
TAFA2,ENSCAFG00845007686,ENSCAFP00845010504.1,10:5024536:5161178:-1
USP15,ENSCAFG00845007973,ENSCAFP00845011012.1,10:5544427:5668750:1
MON2,ENSCAFG00845008650,ENSCAFP00845013409.1,10:5703895:5808420:1
PPM1H,ENSCAFG00845009918,ENSCAFP00845013604.1,10:5857526:6109594:-1
AVPR1A,ENSCAFG00845009998,ENSCAFP00845013688.1,10:6304562:6308218:-1
RXYLT1,ENSCAFG00845010121,ENSCAFP00845013917.1,10:6726697:6751356:1
SRGAP1,ENSCAFG00845010246,ENSCAFP00845014254.1,10:6780140:7056166:1
KICS2,ENSCAFG00845010586,ENSCAFP00845014561.1,10:7087501:7108053:-1
C10H12orf56,ENSCAFG00845010694,ENSCAFP00845014781.1,10:7135217:7224815:-1
XPOT,ENSCAFG00845010828,ENSCAFP00845015040.1,10:7231780:7273577:1
TBK1,ENSCAFG00845011038,ENSCAFP00845015688.1,10:7276874:7318755:1
RASSF3,ENSCAFG00845011411,ENSCAFP00845015904.1,10:7322355:7463785:1
GNS,ENSCAFG00845011574,ENSCAFP00845016475.1,10:7449648:7526493:-1
TBC1D30,ENSCAFG00845011871,ENSCAFP00845016835.1,10:7539958:7625359:1
WIF1,ENSCAFG00845012141,ENSCAFP00845017008.1,10:7769165:7835635:-1
LEMD3,ENSCAFG00845012211,ENSCAFP00845017079.1,10:7887035:7945358:1
MSRB3,ENSCAFG00845012283,ENSCAFP00845017235.1,10:7971174:8150414:1
HMGA2,ENSCAFG00845012436,ENSCAFP00845017401.1,10:8459179:8601880:1
LLPH,ENSCAFG00845012477,ENSCAFP00845017468.1,10:8742706:8751589:-1
TMBIM4,ENSCAFG00845012562,ENSCAFP00845017631.1,10:8753196:8783353:-1
IRAK3,ENSCAFG00845012698,ENSCAFP00845017841.1,10:8796308:8842463:1
HELB,ENSCAFG00845012872,ENSCAFP00845017950.1,10:8877774:8908065:1
GRIP1,ENSCAFG00845013018,ENSCAFP00845018743.1,10:8914209:9176615:-1
CAND1,ENSCAFG00845013572,ENSCAFP00845019007.1,10:9755060:9794999:1
DYRK2,ENSCAFG00845013634,ENSCAFP00845019106.1,10:10098812:10108970:1
IFNG,ENSCAFG00845013680,ENSCAFP00845019173.1,10:10530420:10535258:-1
IL26,ENSCAFG00845013704,ENSCAFP00845019203.1,10:10581172:10597911:-1
IL22,ENSCAFG00845013728,ENSCAFP00845019245.1,10:10611868:10616478:-1
MDM1,ENSCAFG00845013780,ENSCAFP00845019447.1,10:10647769:10676899:-1
RAP1B,ENSCAFG00845013952,ENSCAFP00845019681.1,10:10891814:10941253:1
NUP107,ENSCAFG00845014063,ENSCAFP00845019959.1,10:10962910:11011711:1
MDM2,ENSCAFG00845016387,ENSCAFP00845023446.1,10:11016171:11087383:1
CPM,ENSCAFG00845016944,ENSCAFP00845023572.1,10:11085708:11165621:-1
CPSF6,ENSCAFG00845017068,ENSCAFP00845023723.1,10:11387158:11420524:1
LYZ,ENSCAFG00845017223,ENSCAFP00845023932.1,10:11469636:11474257:1
YEATS4,ENSCAFG00845017320,ENSCAFP00845024204.1,10:11487773:11505875:1
FRS2,ENSCAFG00845017484,ENSCAFP00845024277.1,10:11569144:11675626:1
CCT2,ENSCAFG00845017606,ENSCAFP00845024515.1,10:11683709:11701919:1
LRRC10,ENSCAFG00845017783,ENSCAFP00845024645.1,10:11704075:11708721:-1
BEST3,ENSCAFG00845017873,ENSCAFP00845024838.1,10:11734823:11761251:-1
RAB3IP,ENSCAFG00845018149,ENSCAFP00845025464.1,10:11797166:11839204:1
MYRFL,ENSCAFG00845018692,ENSCAFP00845026675.1,10:11875191:11969368:1
CNOT2,ENSCAFG00845019498,ENSCAFP00845027396.1,10:12141267:12305312:1
KCNMB4,ENSCAFG00845019977,ENSCAFP00845027591.1,10:12316130:12378178:1
PTPRB,ENSCAFG00845020301,ENSCAFP00845030012.1,10:12373480:12517277:-1
PTPRR,ENSCAFG00845021934,ENSCAFP00845030609.1,10:12517367:12751216:-1
TSPAN8,ENSCAFG00845022247,ENSCAFP00845030736.1,10:12919177:12950562:-1
LGR5,ENSCAFG00845022363,ENSCAFP00845031208.1,10:13141904:13269846:1
ZFC3H1,ENSCAFG00845022821,ENSCAFP00845032389.1,10:13297059:13350730:-1
THAP2,ENSCAFG00845023467,ENSCAFP00845032473.1,10:13351263:13363007:1
RAB21,ENSCAFG00845023570,ENSCAFP00845032823.1,10:13368027:13462394:1
TBC1D15,ENSCAFG00845023831,ENSCAFP00845033155.1,10:13494146:13562622:1
TPH2,ENSCAFG00845024186,ENSCAFP00845033495.1,10:13578142:13663110:1
TRHDE,ENSCAFG00845024331,ENSCAFP00845033991.1,10:13883045:14249827:1
ATXN7L3B,ENSCAFG00845024703,ENSCAFP00845034153.1,10:15531193:15531487:1
KCNC2,ENSCAFG00845024913,ENSCAFP00845034549.1,10:15789211:16007557:-1
CAPS2,ENSCAFG00845025159,ENSCAFP00845035460.1,10:16031572:16078339:-1
GLIPR1L1,ENSCAFG00845025712,ENSCAFP00845035597.1,10:16081403:16105255:1
GLIPR1L2,ENSCAFG00845025785,ENSCAFP00845035749.1,10:16116083:16130876:1
GLIPR1,ENSCAFG00845025911,ENSCAFP00845035864.1,10:16150585:16169476:1
OR6C38,ENSCAFG00845025949,ENSCAFP00845035938.1,10:16225765:16226704:-1
OR6C2F,ENSCAFG00845026011,ENSCAFP00845036026.1,10:16287014:16287953:-1
OR6C35,ENSCAFG00845026084,ENSCAFP00845036133.1,10:16399334:16400273:1
OR6C17,ENSCAFG00845026115,ENSCAFP00845036169.1,10:16433436:16434372:1
OR4K14,ENSCAFG00845026135,ENSCAFP00845036197.1,10:16525576:16526509:-1
OR6C6K,ENSCAFG00845026154,ENSCAFP00845036227.1,10:16699879:16701007:1
OR6C3I,ENSCAFG00845026206,ENSCAFP00845036302.1,10:16909475:16910414:1
OR6C87,ENSCAFG00845026252,ENSCAFP00845036361.1,10:17011653:17012565:-1
RABL2B,ENSCAFG00845026404,ENSCAFP00845036591.1,10:17283644:17298297:1
ACR,ENSCAFG00845026531,ENSCAFP00845036707.1,10:17333871:17342013:-1
SHANK3,ENSCAFG00845026673,ENSCAFP00845037110.1,10:17348157:17395273:-1
ARSA,ENSCAFG00845026951,ENSCAFP00845037490.1,10:17417716:17423153:1
MAPK8IP2,ENSCAFG00845027183,ENSCAFP00845037582.1,10:17428924:17438588:-1
CHKB,ENSCAFG00845027398,ENSCAFP00845038041.1,10:17459327:17463931:1
CPT1B,ENSCAFG00845027564,ENSCAFP00845038240.1,10:17463342:17470976:1
SYCE3,ENSCAFG00845027705,ENSCAFP00845038334.1,10:17472394:17499061:1
KLHDC7B,ENSCAFG00845027733,ENSCAFP00845038360.1,10:17500197:17503233:-1
SCO2,ENSCAFG00845027878,ENSCAFP00845038602.1,10:17514752:17518248:1
NCAPH2,ENSCAFG00845027923,ENSCAFP00845038751.1,10:17515283:17528433:-1
MIOX,ENSCAFG00845028088,ENSCAFP00845038902.1,10:17539607:17544075:-1
ADM2,ENSCAFG00845028178,ENSCAFP00845038977.1,10:17544091:17546500:-1
SBF1,ENSCAFG00845005220,ENSCAFP00845007368.1,10:17548637:17571504:1
PPP6R2,ENSCAFG00845005369,ENSCAFP00845007591.1,10:17571973:17665478:-1
DENND6B,ENSCAFG00845005546,ENSCAFP00845007731.1,10:17664877:17676807:1
PLXNB2,ENSCAFG00845005759,ENSCAFP00845008021.1,10:17677066:17702319:1
SELENOO,ENSCAFG00845005911,ENSCAFP00845008147.1,10:17695456:17765745:-1
MAPK12,ENSCAFG00845005996,ENSCAFP00845008461.1,10:17713716:17721934:1
HDAC10,ENSCAFG00845006232,ENSCAFP00845008856.1,10:17722763:17728591:1
TUBGCP6,ENSCAFG00845006433,ENSCAFP00845008923.1,10:17733993:17753781:1
TRABD,ENSCAFG00845006809,ENSCAFP00845009519.1,10:17769667:17777340:-1
PANX2,ENSCAFG00845006929,ENSCAFP00845009682.1,10:17779613:17786922:-1
MOV10L1,ENSCAFG00845007199,ENSCAFP00845009960.1,10:17793921:17865739:-1
MLC1,ENSCAFG00845007385,ENSCAFP00845010306.1,10:17868588:17905098:1
TTLL8,ENSCAFG00845007571,ENSCAFP00845010357.1,10:17904404:17940954:1
IL17REL,ENSCAFG00845007655,ENSCAFP00845010520.1,10:17943110:17969718:1
PIM3,ENSCAFG00845007790,ENSCAFP00845010637.1,10:17988906:17991842:-1
CRELD2,ENSCAFG00845007850,ENSCAFP00845010782.1,10:18014605:18022384:-1
ALG12,ENSCAFG00845007976,ENSCAFP00845010919.1,10:18022382:18030178:1
ZBED4,ENSCAFG00845008044,ENSCAFP00845010982.1,10:18042825:18072764:-1
BRD1,ENSCAFG00845008234,ENSCAFP00845011502.1,10:18090530:18126770:1
TAFA5,ENSCAFG00845008509,ENSCAFP00845011635.1,10:18832710:18985719:-1
TBC1D22A,ENSCAFG00845008682,ENSCAFP00845012207.1,10:19933338:20267651:-1
CERK,ENSCAFG00845009002,ENSCAFP00845012426.1,10:20294759:20336829:1
GRAMD4,ENSCAFG00845009159,ENSCAFP00845013039.1,10:20339834:20413366:-1
CELSR1,ENSCAFG00845009628,ENSCAFP00845013227.1,10:20441950:20572830:1
TRMU,ENSCAFG00845009937,ENSCAFP00845013634.1,10:20575454:20593150:-1
GTSE1,ENSCAFG00845010016,ENSCAFP00845013710.1,10:20596876:20617624:-1
TTC38,ENSCAFG00845010101,ENSCAFP00845014031.1,10:20620907:20644218:-1
PKDREJ,ENSCAFG00845010289,ENSCAFP00845014107.1,10:20648526:20654628:1
CDPF1,ENSCAFG00845010320,ENSCAFP00845014206.1,10:20661900:20686297:1
PPARA,ENSCAFG00845010405,ENSCAFP00845014438.1,10:20668579:20740947:-1
WNT7B,ENSCAFG00845010609,ENSCAFP00845014677.1,10:20894148:20976956:1
ATXN10,ENSCAFG00845010727,ENSCAFP00845014850.1,10:21009420:21174896:-1
FBLN1,ENSCAFG00845010826,ENSCAFP00845014978.1,10:21232147:21315848:-1
RIBC2,ENSCAFG00845010899,ENSCAFP00845015070.1,10:21359659:21374771:-1
SMC1B,ENSCAFG00845010959,ENSCAFP00845015229.1,10:21374478:21443749:1
FAM118A,ENSCAFG00845011067,ENSCAFP00845015324.1,10:21445845:21470299:-1
UPK3A,ENSCAFG00845011106,ENSCAFP00845015433.1,10:21479967:21488054:-1
KIAA0930,ENSCAFG00845011185,ENSCAFP00845015707.1,10:21519466:21560939:1
NUP50,ENSCAFG00845011398,ENSCAFP00845015885.1,10:21560455:21584299:-1
PHF21B,ENSCAFG00845011570,ENSCAFP00845016335.1,10:21721606:21806414:1
ARHGAP8,ENSCAFG00845011792,ENSCAFP00845016697.1,10:21820338:21889163:-1
PRR5,ENSCAFG00845012052,ENSCAFP00845017045.1,10:21901702:21950975:-1
RTL6,ENSCAFG00845012255,ENSCAFP00845017114.1,10:22064105:22069760:1
